Ano,MGLU3_Cresc_AA,Margem_Bruta,ROE,Giro_Ativo,Liquidez_Corrente,PIB_Var_Real,Consumo_Familia_Var_Real
2011,-16.2520912936432,33.403381733194735,0.5988727885572485,0.36891272433973527,1.1463229077705046,4.0,4.8
2012,-65.43030278102273,32.856858451644285,-0.2804466523525919,0.367336309616518,1.1847150339928143,1.9,3.5
2013,126.73125150507931,31.235382508448815,4.429430997921215,1.269442874468931,1.193355399709856,3.0,3.5
2014,8.92295488468311,27.532160764710667,4.429686022107082,0.5171820205435713,1.1959917313545907,0.5,2.3
2015,-5.578937538135942,28.720813244527697,-2.2884839774727084,0.452114053130379,1.3179960356324436,-3.5,-3.2
2016,-20.656311408723948,30.73607182271984,3.156115897432158,0.44537089018571935,1.0640670279830677,-3.3,-3.8
2017,-23.13079730121862,30.089584245989524,8.911981859988083,0.5011858795831529,1.1276031078997133,1.3,2.0
2018,-21.602123350290892,29.103866445368716,6.7495920106966905,0.5219192825772638,1.273293030921801,1.8,2.4
2019,0.0,27.928566331741102,5.65450224992423,0.3624407334041776,1.3065589461305829,1.2,2.6
